;Fecha;Ronda;Equipo Local;Resultado Local;Equipo Visitante;Resultado Visitante;Cancha;Condición;URL;Competición
242;2016-04-24;Fecha 12;Boca;0;River;0;Boca Juniors;L;partido/boca-0-river-0-campeonato-2016/6080/2016/53/12.html;Campeonato 2016
243;2016-12-11;Fecha 13;River;2;Boca;4;River Plate;V;partido/river-2-boca-4-campeonato-2016-2017/6113/2017/56/13.html;Campeonato 20162017
244;2017-05-14;Fecha 24;Boca;1;River;3;Boca Juniors;L;partido/boca-1-river-3-campeonato-2016-2017/6130/2017/56/24.html;Campeonato 20162017
245;2017-11-05;Fecha 8;River;1;Boca;2;River Plate;V;partido/river-1-boca-2-superliga-2017-2018/6153/2018/57/8.html;Superliga 20172018
246;2018-03-14;Final. Partido Único;Boca;0;River;2;Malvinas Argentinas (Mendoza);N;partido/boca-0-river-2-supercopa-argentina-2018/6169/2018/90/1.html;Supercopa Argentina 2018
247;2018-09-23;Fecha 6;Boca;0;River;2;Boca Juniors;L;partido/boca-0-river-2-superliga-2018-2019/6198/2019/58/6.html;Superliga 20182019
248;2018-11-11;Final. Partido de Ida;Boca;2;River;2;Boca Juniors;L;partido/boca-2-river-2-copa-libertadores-2018/6208/2018/109/13.html;Libertadores 2018
249;2018-12-09;Final. Partido de Vuelta;River;3;Boca;1;Real Madrid (España);V;partido/river-3-boca-1-copa-libertadores-2018/6211/2018/109/14.html;Libertadores 2018
250;2019-09-01;Fecha 5;River;0;Boca;0;River Plate;V;partido/river-0-boca-0-superliga-2019-2020/6253/2020/55/5.html;Superliga 20192020
251;2019-10-01;Semifinales. Partido de Ida;River;2;Boca;0;River Plate;V;partido/river-2-boca-0-copa-libertadores-2019/6257/2019/111/11.html;Libertadores 2019
252;2019-10-22;Semifinales. Partido de Vuelta;Boca;1;River;0;Boca Juniors;L;partido/boca-1-river-0-copa-libertadores-2019/6260/2019/111/12.html;Libertadores 2019
253;2021-01-02;Fase Campeonato. Partido 4;Boca;2;River;2;Boca Juniors;L;partido/boca-2-river-2-copa-diego-maradona-2020/6298/2020/96/10.html;Copa Diego Maradona 2020
254;2021-03-14;Fecha 5;Boca;1;River;1;Boca Juniors;L;partido/boca-1-river-1-copa-liga-profesional-2021/6308/2021/97/5.html;Copa Liga Profesional 2021
255;2021-05-16;Cuartos de Final. Partido Único;Boca;1 (4);River;1 (2);Boca Juniors;L;partido/boca-1-4-river-1-2-copa-liga-profesional-2021/6322/2021/97/14.html;Copa Liga Profesional 2021
256;2021-08-04;Octavos de Final. Partido Único;Boca;0 (4);River;0 (1);Ciudad de La Plata;N;partido/boca-0-4-river-0-1-copa-argentina-2021/6332/2021/84/3.html;Copa Argentina 2021
257;2021-10-03;Fecha 14;River;2;Boca;1;River Plate;V;partido/river-2-boca-1-campeonato-2021/6343/2021/1024/14.html;Campeonato 2021
258;2022-03-20;Fecha 7;River;0;Boca;1;River Plate;V;partido/river-0-boca-1-copa-liga-profesional-2022/6369/2022/98/7.html;Copa Liga Profesional 2022
259;2022-09-11;Fecha 18;Boca;1;River;0;Boca Juniors;L;partido/boca-1-river-0-campeonato-2022/6407/2022/1025/18.html;Campeonato 2022
260;2023-05-07;Fecha 15;River;1;Boca;0;River Plate;V;partido/river-1-boca-0-campeonato-2023/6442/2023/1026/15.html;Campeonato 2023
261;2023-10-01;Fecha 7;Boca;0;River;2;Boca Juniors;L;partido/boca-0-river-2-copa-liga-profesional-2023/6471/2023/1700/7.html;Copa Liga Profesional 2023
262;2024-02-25;Fecha 7;River;1;Boca;1;River Plate;V;partido/river-1-boca-1-copa-liga-profesional-2024/6492/2024/1701/7.html;Copa Liga Profesional 2024
