;Fecha;Ronda;Equipo Local;Resultado Local;Equipo Visitante;Resultado Visitante;Cancha;Condición;URL;Competición
2122;1958-10-19;Fecha 17;Boca;2;Huracán;2;San Lorenzo de Almagro;L;partido/boca-2-huracan-2-campeonato-1958/871/1958/7/17.html;Campeonato 1958
2123;1958-10-23;Fecha 18;R. Central;2;Boca;1;Newell´s Old Boys;V;partido/r-central-2-boca-1-campeonato-1958/872/1958/7/18.html;Campeonato 1958
2124;1958-10-26;Fecha 19;Boca;2;C. Córdoba (Ros.);0;Boca Juniors;L;partido/boca-2-c-cordoba-ros-0-campeonato-1958/873/1958/7/19.html;Campeonato 1958
2125;1958-11-02;Fecha 20;Racing;1;Boca;2;Racing Club;V;partido/racing-1-boca-2-campeonato-1958/874/1958/7/20.html;Campeonato 1958
2126;1958-11-05;Amistoso;Atlético (Tuc);1;Boca;2;Atlético (Tucumán);V;partido/atletico-tuc-1-boca-2-amistosos-1958/4647/1958/2958/20.html;Amistosos 1958
2127;1958-11-09;Fecha 21;Boca;4;Gimnasia (LP);2;Boca Juniors;L;partido/boca-4-gimnasia-lp-2-campeonato-1958/875/1958/7/21.html;Campeonato 1958
2128;1958-11-12;Fecha 22;Lanús;1;Boca;5;Lanús;V;partido/lanus-1-boca-5-campeonato-1958/876/1958/7/22.html;Campeonato 1958
2129;1958-11-16;Fecha 23;Boca;4;Vélez;1;Boca Juniors;L;partido/boca-4-velez-1-campeonato-1958/877/1958/7/23.html;Campeonato 1958
2130;1958-11-20;Fecha 24;San Lorenzo;3;Boca;1;Huracán;V;partido/san-lorenzo-3-boca-1-campeonato-1958/878/1958/7/24.html;Campeonato 1958
2131;1958-11-23;Fecha 25;Boca;4;Newell´s;2;Boca Juniors;L;partido/boca-4-newell_s-2-campeonato-1958/879/1958/7/25.html;Campeonato 1958
2132;1958-11-26;Amistoso;Instituto (Cba);2;Boca;2;Instituto (Córdoba);V;partido/instituto-cba-2-boca-2-amistosos-1958/4648/1958/2958/21.html;Amistosos 1958
2133;1958-12-03;Fecha 26;Atlanta;3;Boca;3;Atlanta;V;partido/atlanta-3-boca-3-campeonato-1958/880/1958/7/26.html;Campeonato 1958
2134;1958-12-07;Fecha 27;Boca;3;Independiente;3;Boca Juniors;L;partido/boca-3-independiente-3-campeonato-1958/881/1958/7/27.html;Campeonato 1958
